longitude,latitude,potential
-114.789254,32.500118,4.39418520e+01
-117.048133,32.548144,1.30790743e+04
-117.048290,32.555956,1.80144828e+04
-114.626683,32.557001,1.37415139e+02
-117.058201,32.559950,1.94850863e+04
-117.071884,32.560170,2.33536689e+04
-117.030786,32.561407,9.83688596e+03
-117.065704,32.563210,4.00548769e+04
-117.050357,32.564361,2.98480480e+04
-117.080200,32.568415,2.66736932e+04
-117.097332,32.570185,2.47419522e+04
-117.053605,32.571330,2.93618973e+04
-117.073725,32.571855,3.86208781e+04
-117.105238,32.572398,2.49396314e+04
-117.088958,32.572618,3.49274669e+04
-117.114116,32.576012,1.99510076e+04
-117.124870,32.577474,1.01377383e+04
-117.061926,32.577713,3.47990724e+04
-117.044543,32.579155,2.46091242e+04
-117.106915,32.579579,2.82086873e+04
-117.055477,32.580230,3.68523377e+04
-116.998563,32.580310,5.01836553e+03
-117.078412,32.581192,2.28430011e+04
-117.098262,32.582213,1.96767413e+04
-117.125900,32.585386,1.66552282e+04
-117.054724,32.585878,3.13516698e+04
-117.112360,32.586025,1.56430017e+04
-114.710153,32.590530,2.04399591e+02
-114.730963,32.592370,1.97421751e+02
-117.043939,32.592636,3.02978122e+04
-117.063572,32.598341,3.18665417e+04
-117.050316,32.598406,3.89931955e+04
-117.083218,32.599954,2.74160381e+04
-117.032196,32.601290,2.19519972e+04
-117.074211,32.601840,2.72690297e+04
-114.712342,32.603151,2.37209195e+02
-117.040162,32.603456,2.33389013e+04
-117.063703,32.606424,3.81991328e+04
-117.051345,32.607143,3.78739651e+04
-117.086709,32.610531,3.74235882e+04
-117.078927,32.612689,3.01957984e+04
-117.067678,32.614567,3.03765428e+04
-117.048712,32.615303,2.68751591e+04
-117.033876,32.618363,2.18484875e+04
-116.982939,32.620462,6.44078616e+03
-117.134011,32.622019,6.33773753e+03
-117.090020,32.622527,2.40725122e+04
-117.051080,32.623689,2.74472574e+04
-116.998845,32.625370,1.24788234e+04
-117.079002,32.625769,3.13881610e+04
-117.068079,32.627281,3.63807270e+04
-117.011814,32.631866,1.32322761e+04
-116.948872,32.631986,4.93156620e+03
-117.036024,32.632695,2.04111501e+04
-117.093500,32.633271,3.09497533e+04
-117.055350,32.633879,2.61690532e+04
