i,j,k
930,694,97
8766,8823,8726
694,462,97
8750,8766,8726
8770,5815,4794
7270,5815,8770
8834,8835,8831
4318,97,4794
4318,930,97
8750,8765,8766
8802,8770,8832
8835,8817,8832
8817,8808,8832
8720,8269,8678
8500,7270,8770
8500,8474,7270
8802,8500,8770
8500,8802,8763
8467,8763,8678
8269,8467,8678
8467,8500,8763
8500,8467,8474
8467,8269,6125
6438,8467,6125
8474,8467,7270
8467,6438,7270
4951,4902,4723
8834,8833,8835
2540,1967,692
1967,2540,2647
116,692,16
116,700,692
4752,4318,4794
5815,4822,4794
5661,4966,5412
4966,4812,5412
4812,5218,5412
5218,4812,4746
4726,4812,4966
8830,8826,8831
8826,8816,8831
8766,8807,8823
8807,8816,8823
5813,5815,7270
6438,5813,7270
8802,8767,8763
8808,8806,8832
8764,8720,8678
8806,8764,8832
8764,8806,8720
8269,7589,6125
4924,4938,4922
4833,4938,4791
4938,4833,4922
8824,8833,8834
8833,8818,8835
8818,8814,8835
8829,8834,8831
8816,8829,8831
8829,8816,8805
8813,8829,8805
2540,4434,2647
24,116,16
116,203,700
2562,2540,692
283,158,462
5484,5661,5412
4324,4293,4746
4792,4752,4794
4792,4801,4752
4801,4822,4839
4318,3992,930
4752,4550,4318
4550,3992,4318
4725,4812,4726
8828,8830,8823
8816,8825,8823
8826,8825,8816
8825,8828,8823
8780,8813,8805
8745,8765,8750
8501,8689,8726
5651,5813,6438
8763,8773,8678
8773,8764,8678
8767,8773,8763
7946,7589,8269
8720,8702,8269
8817,8702,8808
8685,8702,8817
5987,5946,6634
6793,5661,6125
7589,6793,6125
7946,6793,7589
4938,4965,4939
4924,4965,4938
4833,4898,4922
5088,5220,4951
4786,4951,4723
8792,8762,8718
8677,8699,8718
8699,8792,8718
8792,8699,8801
8824,8812,8833
8822,8824,8834
8803,8818,8801
8818,8803,8814
8710,8803,8703
8699,8803,8801
8803,8699,8703
4813,4806,4902
4640,1967,2647
4634,4640,2647
4429,4515,4414
4431,4434,2540
4431,4482,4434
1051,700,951
700,704,692
704,2562,692
1051,704,700
704,1051,1020
2562,1291,2011
704,1291,2562
2562,3603,2540
462,104,97
104,56,97
283,191,158
3,56,58
97,3,0
56,3,97
5218,5340,5412
435,660,564
697,3741,785
697,974,3741
701,697,785
697,619,635
697,701,619
4692,4752,4706
4822,4802,4794
4801,4803,4822
4803,4801,4792
3992,3354,930
4988,4947,5583
4822,4947,4839
4986,4947,4988
4947,4986,4929
4947,4822,5815
8827,8826,8830
8828,8827,8830
8827,8825,8826
8825,8827,8828
8794,8804,8807
8816,8804,8805
8807,8804,8816
8804,8780,8805
8804,8794,8724
8780,8804,8724
8794,8771,8724
8745,8771,8765
8771,8745,8724
8689,8716,8726
8724,8716,8693
8716,8689,8693
8520,8689,8501
8700,8724,8693
8700,8780,8724
8672,8620,8686
6852,7958,8317
7490,7958,6852
8620,8656,8686
5813,5811,5815
5651,5711,5813
5711,5773,5813
4947,5711,5583
5711,5593,5583
5593,5711,5651
8793,8802,8832
8793,8767,8802
8764,8793,8832
8815,8706,8817
8815,8817,8835
8814,8815,8835
8815,8710,8706
8803,8815,8814
8815,8803,8710
8706,8688,8817
8688,8685,8817
7946,7792,6634
6634,7792,6765
8806,8796,8720
8796,8702,8720
8702,8796,8808
8702,8553,8269
6594,7946,6634
6594,6793,7946
4963,4965,4952
4963,4957,4955
5478,4938,4939
4938,5478,4791
5478,6852,692
1967,5478,692
5709,5404,5878
4946,4950,4952
4957,4945,4955
4945,4937,4955
4945,4946,4937
4950,4945,4957
4945,4950,4946
4777,4786,4723
4756,4777,4723
4701,4747,4681
4747,4726,4966
4747,4701,4726
5661,5568,4966
6793,5568,5661
5568,6793,5953
7300,7388,7416
7376,7388,7356
7376,7356,7338
6072,6478,6852
8792,8810,8762
8810,8792,8801
8812,8810,8833
8818,8810,8801
8810,8818,8833
8703,8690,8704
8708,8703,8704
8708,8710,8703
8706,8709,8704
8710,8709,8706
8709,8708,8704
8708,8709,8710
8762,8723,8718
8327,8371,8426
8811,8812,8813
8810,8811,8809
8811,8810,8812
8829,8819,8834
8819,8822,8834
8819,8829,8813
8820,8812,8824
8812,8820,8813
8820,8819,8813
4545,4553,4723
4806,4782,4902
4453,4532,4515
4482,4475,4434
4505,4475,4482
4414,4427,2540
4427,4431,2540
4515,4427,4414
4510,4505,4482
238,229,256
229,238,203
196,203,116
133,196,116
692,1,16
191,120,158
27,28,0
3,27,0
5431,5484,5412
5340,5431,5412
5431,5340,5484
3741,1125,785
697,779,974
779,846,974
779,462,694
779,283,462
4692,4603,4752
4704,4692,4706
4730,4704,4706
974,4704,3741
4692,4704,974
3741,4704,4929
4704,4771,4929
4704,4730,4771
804,694,930
4790,4801,4839
4790,4780,4801
4790,4781,4780
4790,4947,4929
4947,4790,4839
4752,4738,4706
4801,4738,4752
4738,4730,4706
4810,4802,4822
4803,4810,4822
4810,4803,4802
4798,4803,4792
4803,4798,4802
4798,4792,4794
4802,4798,4794
2054,4692,974
3354,2054,930
4550,4548,3992
4548,4543,3992
3743,3354,3992
4543,3743,3992
5789,4947,5815
5811,5789,5815
5711,5789,5773
5789,5711,4947
4716,4701,4597
4701,4716,4726
8788,8807,8766
8788,8797,8807
8800,8794,8807
8797,8800,8807
8780,8768,8813
8745,8737,8724
8737,8716,8724
8716,8737,8726
8737,8750,8726
8737,8745,8750
8486,8421,8440
8421,8486,8453
8620,8486,8440
8672,8486,8620
8672,8728,8700
8768,8728,8761
8728,8672,8686
8700,8728,8780
8728,8768,8780
8689,8647,8693
8520,8647,8689
8647,8700,8693
8647,8672,8700
8462,8501,8317
8389,8462,8317
8430,8421,8453
7958,7936,8297
7936,7958,7490
8656,8682,8686
8682,8656,8681
8781,8773,8767
8793,8781,8767
8773,8787,8764
8787,8793,8764
8688,8698,8673
8698,8688,8706
8698,8706,8704
8690,8698,8704
7792,7578,6765
8499,8372,8496
8499,8470,8372
8799,8806,8808
8796,8799,8808
8799,8796,8806
8372,8524,8496
8524,8607,8496
5941,5946,5987
6009,5941,5987
5941,6009,5976
6594,6291,6793
4956,4963,4952
4963,4956,4957
4950,4956,4952
4956,4950,4957
5977,5870,6001
5870,5949,6001
5949,5870,5709
4671,5478,1967
4671,4699,4791
5478,4671,4791
5603,5694,5607
4902,4987,4955
4951,4987,4902
5220,4987,4951
5011,4987,5220
5560,5539,5563
5539,5709,5563
5539,5404,5709
4965,4981,4939
4963,4981,4965
5712,5857,5878
5404,5712,5878
4777,4784,4786
4756,4784,4777
5693,5564,5953
5113,5568,5953
5564,5113,5953
5568,5113,4964
7796,7593,7646
7593,7796,7490
7936,7796,7899
7796,7936,7490
7440,7416,7457
6449,6266,6765
6460,6449,6765
6975,6650,7290
6650,6944,7290
6132,5977,6001
6132,6276,5977
5602,5952,6852
5952,6072,6852
6478,6614,6852
8690,8683,8680
8683,8619,8680
8619,8683,8677
8699,8697,8703
8697,8690,8703
8697,8683,8690
8697,8699,8677
8683,8697,8677
8752,8723,8762
8291,8327,8315
8291,7995,8060
8088,8291,8315
7995,8291,8088
