longitude,latitude
-114.789254,32.500118
-117.048133,32.548144
-117.048290,32.555956
-114.626683,32.557001
-117.058201,32.559950
-117.071884,32.560170
-117.030786,32.561407
-117.065704,32.563210
-117.050357,32.564361
-117.080200,32.568415
-117.097332,32.570185
-117.053605,32.571330
-117.073725,32.571855
-117.105238,32.572398
-117.088958,32.572618
-117.114116,32.576012
-117.124870,32.577474
-117.061926,32.577713
-117.044543,32.579155
-117.106915,32.579579
-117.055477,32.580230
-116.998563,32.580310
-117.078412,32.581192
-117.098262,32.582213
-117.125900,32.585386
-117.054724,32.585878
-117.112360,32.586025
-114.710153,32.590530
-114.730963,32.592370
-117.043939,32.592636
-117.063572,32.598341
-117.050316,32.598406
-117.083218,32.599954
-117.032196,32.601290
-117.074211,32.601840
-114.712342,32.603151
-117.040162,32.603456
-117.063703,32.606424
-117.051345,32.607143
-117.086709,32.610531
-117.078927,32.612689
-117.067678,32.614567
-117.048712,32.615303
-117.033876,32.618363
-116.982939,32.620462
-117.134011,32.622019
-117.090020,32.622527
-117.051080,32.623689
-116.998845,32.625370
-117.079002,32.625769
-117.068079,32.627281
-117.011814,32.631866
-116.948872,32.631986
-117.036024,32.632695
-117.093500,32.633271
-117.055350,32.633879
-114.390225,32.634520
-117.072291,32.635740
-114.405299,32.635839
-117.085190,32.635873
-116.997864,32.637058
-116.959885,32.637631
-117.017561,32.640592
-117.080218,32.641007
-117.097053,32.642539
-114.558097,32.643271
-117.088665,32.643476
-117.071795,32.643689
-117.015167,32.646126
-116.439711,32.646176
-116.991797,32.646609
-117.041475,32.646963
-117.088589,32.649335
-117.075573,32.649822
-116.977704,32.650352
-114.586036,32.651784
-114.403137,32.652272
-114.416654,32.655908
-116.958154,32.657087
-116.820957,32.657666
-116.983156,32.657697
-117.059284,32.658192
-114.526824,32.659334
-117.155429,32.659905
-117.096124,32.660443
-117.013255,32.660559
-114.452022,32.661642
-114.430765,32.662407
-114.475746,32.663115
-114.628075,32.663323
-117.072492,32.665142
-117.096390,32.666258
-117.088379,32.667235
-114.672267,32.667947
-117.116456,32.668611
-115.486417,32.668650
-117.053430,32.670078
-114.161057,32.670347
-117.077368,32.671164
-116.991008,32.672481
-117.064690,32.672676
-114.627447,32.673336
-117.096384,32.674016
-117.031292,32.674400
-114.393455,32.674923
-115.481026,32.677037
-115.496173,32.677114
-114.454641,32.677573
-117.054746,32.677805
