longitude,latitude,potential
-121.834303,37.206117,7.33370869e+03
-121.861883,37.206505,1.22571361e+04
-121.870492,37.214474,1.03046348e+04
-121.858241,37.214726,1.12602933e+04
-121.962464,37.218941,6.02907907e+03
-121.856680,37.221154,2.01762507e+04
-121.846879,37.223716,1.56165093e+04
-121.764702,37.224334,5.67462848e+03
-121.983392,37.225860,6.91238995e+03
-121.784560,37.226568,9.08071113e+03
-121.891508,37.227493,1.35090906e+04
-121.771150,37.229135,8.07818597e+03
-121.876851,37.229629,2.00713138e+04
-121.929229,37.230647,1.38818292e+04
-121.809631,37.231591,2.13198540e+04
-121.823157,37.232688,2.37897709e+04
-121.978018,37.232806,8.05922782e+03
-121.797357,37.232978,1.61280309e+04
-121.766568,37.236852,8.38355855e+03
-121.896880,37.237476,2.08186926e+04
-121.835296,37.238794,3.05464581e+04
-121.933454,37.239843,1.56421779e+04
-121.810389,37.240326,1.95767411e+04
-121.825154,37.240936,2.97805609e+04
-121.844472,37.241084,3.19261553e+04
-121.956353,37.241125,1.23218112e+04
-121.912931,37.242322,1.76934653e+04
-121.983585,37.243028,1.09700594e+04
-121.853150,37.244781,2.86027548e+04
-121.880685,37.245365,3.31934397e+04
-121.863443,37.246029,2.98726625e+04
-122.027053,37.247040,5.06397707e+03
-121.935970,37.247060,2.36010339e+04
-121.815835,37.247895,3.69397731e+04
-121.901193,37.248208,2.41876522e+04
-121.786204,37.248858,1.15902575e+04
-121.884511,37.251692,3.44584209e+04
-121.964368,37.251817,1.67623551e+04
-121.859914,37.252780,3.66374466e+04
-121.812549,37.254846,2.60211563e+04
-121.825166,37.255101,3.86824852e+04
-121.837650,37.255372,2.94638099e+04
-121.922105,37.255465,2.19821199e+04
-121.887144,37.256899,3.65807365e+04
-121.778697,37.258020,1.15413427e+04
-121.982203,37.258309,1.46526385e+04
-121.942782,37.258579,1.91952592e+04
-121.908748,37.259275,2.84349174e+04
-121.864269,37.260659,3.01445436e+04
-122.007747,37.261266,1.19023788e+04
-121.851259,37.261670,3.31617003e+04
-121.805682,37.261878,3.21911445e+04
-121.823632,37.263571,3.33829319e+04
-121.897417,37.263641,3.19612671e+04
-121.968051,37.264720,2.33491462e+04
-121.813658,37.265625,3.79231034e+04
-121.885942,37.266913,3.34293883e+04
-121.865127,37.269753,3.31369740e+04
-122.041379,37.270079,8.28609011e+03
-121.937692,37.271048,2.77587443e+04
-121.845376,37.271221,4.26112414e+04
-121.978167,37.271224,2.29741666e+04
-121.927311,37.271599,2.82012874e+04
-121.814603,37.272208,3.75687942e+04
-121.835940,37.273003,4.79261762e+04
-121.915390,37.273284,3.13520564e+04
-121.962772,37.273802,2.83629273e+04
-122.024028,37.274438,1.07750223e+04
-121.887985,37.276440,3.44608640e+04
-121.904678,37.277340,3.26609509e+04
-121.852519,37.277348,4.26806492e+04
-121.818264,37.280211,4.18594707e+04
-121.986266,37.280511,2.62389051e+04
-121.829662,37.280669,4.10936754e+04
-121.999122,37.280795,1.95353089e+04
-121.936623,37.282147,4.16449049e+04
-121.969748,37.282166,3.21281648e+04
-121.873665,37.282178,2.90433045e+04
-121.744115,37.283602,4.69407397e+03
-121.892290,37.284049,3.37007379e+04
-121.954081,37.284587,3.64212497e+04
-121.779333,37.285936,1.29438940e+04
-121.830206,37.287207,5.21492712e+04
-121.945131,37.287227,3.25766946e+04
-121.927438,37.287717,3.24495898e+04
-122.018707,37.288645,1.77880000e+04
-122.310176,37.288812,4.55390281e+02
-121.860980,37.288866,2.81473667e+04
-121.839550,37.289215,3.63384241e+04
-121.823946,37.289236,5.24113514e+04
-121.914492,37.290388,4.18358022e+04
-121.970167,37.290453,4.55102711e+04
-121.981687,37.292957,3.15141303e+04
-121.891382,37.294078,3.46831870e+04
-121.759644,37.294500,9.62375694e+03
-121.816254,37.296178,4.73959179e+04
-121.969589,37.296961,4.98726107e+04
-121.920893,37.298011,5.31342048e+04
-121.877713,37.298200,3.33979036e+04
-121.954860,37.298471,3.61640792e+04
-121.845831,37.299730,4.12646651e+04
-121.990038,37.300368,3.63570107e+04
-121.906787,37.300819,3.82473196e+04
-121.809995,37.301190,3.89526624e+04
-121.788215,37.301198,2.49169052e+04
-121.946248,37.301363,4.14868922e+04
-121.837590,37.301446,4.24666718e+04
-122.019073,37.302019,3.05897196e+04
-122.037885,37.302357,2.24759801e+04
-122.001714,37.302823,3.66262879e+04
-122.010198,37.302857,3.58802192e+04
-121.922863,37.302987,4.05826588e+04
-122.028785,37.303077,2.53102387e+04
-122.051982,37.304131,1.52000108e+04
-121.971727,37.304539,3.89032564e+04
-121.892750,37.304678,3.38969369e+04
-121.937023,37.304919,4.23448309e+04
-121.826271,37.305003,4.63223710e+04
-121.804444,37.307663,3.38253564e+04
-121.790860,37.308339,3.01055916e+04
-121.908525,37.308945,3.52224351e+04
-121.875870,37.309241,4.09582190e+04
-121.956470,37.309851,3.78309314e+04
-121.765004,37.310399,1.46859714e+04
-121.923805,37.310720,4.53712857e+04
-121.853597,37.310896,4.72423178e+04
-121.778939,37.311595,1.98581005e+04
-121.833128,37.311726,4.98688112e+04
-121.970927,37.312304,4.10285078e+04
-122.041614,37.312691,1.94719251e+04
-121.822303,37.313184,4.52159704e+04
-121.985691,37.314221,3.35881776e+04
-121.946508,37.315540,3.85452312e+04
-121.880515,37.316082,4.55021833e+04
-121.896115,37.316472,4.21391619e+04
-122.023131,37.317378,3.08295362e+04
-122.001483,37.317486,3.99998197e+04
-122.010779,37.317534,3.20232987e+04
-121.842193,37.317895,6.91858313e+04
-121.802200,37.317961,3.64647598e+04
-121.909324,37.318218,4.95248720e+04
-121.817570,37.318733,5.11039585e+04
-121.963969,37.319520,4.76460366e+04
-121.919632,37.319869,3.91565878e+04
-121.982513,37.320126,5.10444574e+04
-121.773023,37.320310,2.09975585e+04
-121.789145,37.320357,3.30499094e+04
-122.050286,37.320389,2.06784608e+04
-122.068670,37.321215,1.20041605e+04
-121.884841,37.322218,4.27873647e+04
-121.840038,37.322472,6.00751220e+04
-121.855707,37.322736,6.91610605e+04
-121.930768,37.322759,3.77589068e+04
-121.871301,37.323857,5.43407575e+04
-121.833502,37.324450,7.21713879e+04
-122.110151,37.326465,5.02586362e+03
-121.985850,37.326850,4.13854166e+04
-121.790001,37.327607,3.23317769e+04
-121.852034,37.327655,6.69167468e+04
-121.825536,37.328568,5.82642007e+04
-121.896485,37.328602,4.88651578e+04
-122.041961,37.329147,2.51584340e+04
-121.803908,37.329520,3.51613576e+04
-121.927363,37.329809,3.74181611e+04
-121.876139,37.329928,6.96623778e+04
-121.971254,37.330268,3.65051990e+04
-122.023241,37.330886,2.84049306e+04
-122.003183,37.331013,3.15462789e+04
-121.776425,37.331051,1.68733275e+04
-121.907506,37.331381,4.97997490e+04
-121.847488,37.331496,7.99254680e+04
-121.957205,37.331870,3.76093563e+04
