longitude,latitude,potential
-121.834303,37.206117,1.00369864e+03
-121.861883,37.206505,1.24097962e+03
-121.870492,37.214474,1.39244320e+03
-121.858241,37.214726,1.44825417e+03
-121.962464,37.218941,1.26667638e+03
-121.856680,37.221154,1.42899133e+03
-121.846879,37.223716,1.57190849e+03
-121.764702,37.224334,8.22573114e+02
-121.983392,37.225860,1.47019729e+03
-121.784560,37.226568,1.18038750e+03
-121.891508,37.227493,2.03867689e+03
-121.771150,37.229135,1.23427146e+03
-121.876851,37.229629,2.13795621e+03
-121.929229,37.230647,1.71271307e+03
-121.809631,37.231591,1.88577579e+03
-121.823157,37.232688,1.78106144e+03
-121.978018,37.232806,1.65270010e+03
-121.797357,37.232978,1.78858603e+03
-121.766568,37.236852,1.17186773e+03
-121.896880,37.237476,2.74542954e+03
-121.835296,37.238794,2.05660592e+03
-121.933454,37.239843,2.27774937e+03
-121.810389,37.240326,1.87992755e+03
-121.825154,37.240936,1.92514291e+03
-121.844472,37.241084,2.40746190e+03
-121.956353,37.241125,1.88066508e+03
-121.912931,37.242322,2.56898375e+03
-121.983585,37.243028,1.82599946e+03
-121.853150,37.244781,2.23541911e+03
-121.880685,37.245365,2.90562728e+03
-121.863443,37.246029,2.59510767e+03
-122.027053,37.247040,1.34178912e+03
-121.935970,37.247060,2.67839960e+03
-121.815835,37.247895,2.52783370e+03
-121.901193,37.248208,3.01295308e+03
-121.786204,37.248858,1.62322803e+03
-121.884511,37.251692,3.29233969e+03
-121.964368,37.251817,2.21719221e+03
-121.859914,37.252780,3.16953864e+03
-121.812549,37.254846,2.24478721e+03
-121.825166,37.255101,2.38851699e+03
-121.837650,37.255372,2.24474276e+03
-121.922105,37.255465,2.88085071e+03
-121.887144,37.256899,3.58648823e+03
-121.778697,37.258020,1.76658342e+03
-121.982203,37.258309,2.24452892e+03
-121.942782,37.258579,2.62767010e+03
-121.908748,37.259275,3.32005018e+03
-121.864269,37.260659,3.10922772e+03
-122.007747,37.261266,1.93710691e+03
-121.851259,37.261670,2.78979873e+03
-121.805682,37.261878,2.75423147e+03
-121.823632,37.263571,2.21959877e+03
-121.897417,37.263641,3.73461002e+03
-121.968051,37.264720,2.83883503e+03
-121.813658,37.265625,2.77393842e+03
-121.885942,37.266913,3.72450055e+03
-121.865127,37.269753,3.00534406e+03
-122.041379,37.270079,1.57555163e+03
-121.937692,37.271048,3.59597637e+03
-121.845376,37.271221,3.25663297e+03
-121.978167,37.271224,3.18202274e+03
-121.927311,37.271599,3.50517075e+03
-121.814603,37.272208,2.73218390e+03
-121.835940,37.273003,2.88072427e+03
-121.915390,37.273284,3.71078069e+03
-121.962772,37.273802,3.46561505e+03
-122.024028,37.274438,1.96747198e+03
-121.887985,37.276440,4.29381490e+03
-121.904678,37.277340,4.31000471e+03
-121.852519,37.277348,3.20795686e+03
-121.818264,37.280211,2.52599621e+03
-121.986266,37.280511,2.96975361e+03
-121.829662,37.280669,2.94756285e+03
-121.999122,37.280795,2.46339967e+03
-121.936623,37.282147,3.95266233e+03
-121.969748,37.282166,3.63187735e+03
-121.873665,37.282178,3.63201459e+03
-121.744115,37.283602,1.05435794e+03
-121.892290,37.284049,4.01905812e+03
-121.954081,37.284587,3.86850888e+03
-121.779333,37.285936,1.82325185e+03
-121.830206,37.287207,2.90480242e+03
-121.945131,37.287227,3.63692270e+03
-121.927438,37.287717,3.60384433e+03
-122.018707,37.288645,2.40555525e+03
-122.310176,37.288812,2.03438662e+02
-121.860980,37.288866,3.55255646e+03
-121.839550,37.289215,3.00091129e+03
-121.823946,37.289236,3.33299781e+03
-121.914492,37.290388,4.02398897e+03
-121.970167,37.290453,4.63641249e+03
-121.981687,37.292957,3.65270271e+03
-121.891382,37.294078,4.73597210e+03
-121.759644,37.294500,1.83778097e+03
-121.816254,37.296178,3.59434938e+03
-121.969589,37.296961,4.35023047e+03
