longitude,latitude,potential
-81.792589,24.550157,3.11046374e+03
-81.800578,24.552255,4.64793430e+03
-81.769851,24.555574,2.14522108e+03
-81.792541,24.555933,3.04197231e+03
-81.808773,24.556448,2.59569183e+03
-81.782138,24.557214,4.95503138e+03
-81.777754,24.567641,1.47374271e+03
-81.758210,24.568597,1.42544776e+03
-81.738173,24.570347,7.61023808e+02
-81.661176,24.594586,2.98529676e+01
-82.872205,24.629223,2.59165383e+00
-81.557882,24.641783,2.14597460e+01
-81.485380,24.659552,2.28254284e+01
-81.417693,24.665204,1.05765544e+01
-81.354963,24.677304,1.53852337e+01
-81.375214,24.703305,1.26343777e+01
-81.102169,24.708764,2.39017017e+01
-81.076863,24.709228,1.10023632e+01
-81.050756,24.725195,1.05663517e+01
-81.017853,24.725482,2.58650171e+01
-80.910177,24.778821,1.48928208e+01
-81.285472,24.851473,1.15679845e+01
-80.671009,24.896489,1.98764193e+01
-80.552897,24.982082,3.51291030e+01
-80.511691,25.018450,3.53325754e+01
-80.478583,25.058506,7.17259845e+01
-80.440481,25.090834,5.79799637e+01
-80.414738,25.122916,6.11940153e+01
-80.387069,25.157427,7.64936490e+01
-80.294535,25.298477,1.24585891e+02
-80.615640,25.331397,1.32978853e+02
-80.495957,25.423592,1.27543849e+03
-80.489611,25.447375,2.91098537e+03
-80.452382,25.451797,2.49699558e+03
-80.485158,25.465567,3.79710597e+03
-80.435803,25.469238,6.80018152e+03
-80.469525,25.473894,6.45817915e+03
-80.497872,25.476628,5.26368742e+03
-80.456030,25.477220,8.96714850e+03
-80.486475,25.482439,5.09938236e+03
-80.423443,25.483569,1.08636643e+04
-80.442525,25.486900,8.11637420e+03
-80.414226,25.487637,6.93991108e+03
-80.428681,25.490946,9.38686433e+03
-80.440211,25.497265,1.01616316e+04
-80.459392,25.499459,5.37356546e+03
-80.392050,25.502184,6.15469008e+03
-80.422053,25.504662,7.93483193e+03
-80.398669,25.509742,4.42496358e+03
-80.418849,25.519237,4.38610289e+03
-80.173669,25.525073,5.06236956e+02
-80.401361,25.528107,4.39060875e+03
-80.318011,25.543664,3.06160850e+03
-80.542651,25.545176,9.56545367e+02
-80.367509,25.552135,8.16376786e+03
-80.379938,25.553279,8.67766963e+03
-80.476488,25.554253,2.20024088e+03
-80.401263,25.556864,8.41774787e+03
-80.348222,25.557170,1.06592690e+04
-80.341257,25.566750,1.13706422e+04
-80.358952,25.568166,1.11605956e+04
-80.393107,25.574546,1.24738057e+04
-80.381500,25.575697,1.46579671e+04
-80.321946,25.576337,6.82491195e+03
-80.415481,25.576636,7.96133966e+03
-80.346884,25.576834,1.39503761e+04
-80.176611,25.584445,8.16585916e+02
-80.354317,25.585201,1.90063407e+04
-80.371597,25.585509,2.82248144e+04
-80.376235,25.586327,2.48609826e+04
-80.325014,25.587376,1.23720699e+04
-80.384917,25.589409,2.24336386e+04
-80.396019,25.589484,1.76532056e+04
-80.338684,25.590627,1.23185949e+04
-80.419889,25.602537,9.33400490e+03
-80.438254,25.603285,7.63014123e+03
-80.381957,25.604736,1.63556425e+04
-80.370599,25.605576,2.10689530e+04
-80.342768,25.606481,1.31196755e+04
-80.359114,25.606768,1.64605976e+04
-80.329088,25.608606,1.13028264e+04
-80.400333,25.613577,1.66621921e+04
-80.426072,25.614133,1.13332434e+04
-80.440436,25.619265,1.11270302e+04
-80.356191,25.620209,1.45330373e+04
-80.418798,25.621031,1.35509263e+04
-80.331879,25.621068,1.02087302e+04
-80.316107,25.621555,8.22517704e+03
-80.370075,25.621762,1.37283437e+04
-80.452851,25.631455,1.12163507e+04
-80.440825,25.631482,1.40495726e+04
-80.428529,25.632425,1.40844549e+04
-80.393773,25.633297,1.30150288e+04
-80.372047,25.633894,1.32371340e+04
-80.328482,25.636506,1.04419487e+04
-80.350069,25.638612,1.30374982e+04
-80.303940,25.638729,7.16547315e+03
-80.401277,25.643211,1.45232075e+04
-80.432078,25.647391,1.46653732e+04
-80.319304,25.653677,1.02019467e+04
-80.300468,25.654144,8.28391152e+03
-80.359337,25.654369,1.38014735e+04
-80.340438,25.654502,1.24318523e+04
-80.377308,25.654959,1.46763449e+04
-80.443789,25.659873,3.18786360e+04
-80.394607,25.663414,1.97188118e+04
-80.407859,25.663548,2.34270284e+04
-80.428195,25.663877,2.83752816e+04
-80.437574,25.665858,3.64312619e+04
-80.457126,25.665919,1.97120873e+04
-80.445894,25.666336,4.14789596e+04
-80.419896,25.672996,3.65038590e+04
-80.293272,25.673846,1.21297717e+04
-80.459426,25.674397,2.49202029e+04
-80.383304,25.674690,2.35890112e+04
-80.371079,25.675141,2.14673336e+04
-80.445623,25.676427,3.51917836e+04
-80.350280,25.676680,1.86732260e+04
-80.436762,25.677198,4.62984869e+04
-80.310830,25.677304,1.16589962e+04
-80.427387,25.678355,4.31477914e+04
-80.408984,25.678573,3.81396208e+04
-80.278585,25.680610,9.58991320e+03
-80.328330,25.680667,1.40594119e+04
-80.395201,25.681102,2.77037474e+04
-80.360464,25.682328,2.12793831e+04
-80.318577,25.685252,1.70240090e+04
-80.262328,25.687525,9.09275814e+03
-80.158592,25.688009,2.37405788e+03
-80.411968,25.688794,3.30875618e+04
-80.435292,25.689220,4.52015481e+04
-80.374895,25.689614,2.30494963e+04
-80.161327,25.689617,2.55328504e+03
-80.442930,25.689914,5.42650776e+04
-80.168247,25.690582,2.64024431e+03
-80.423346,25.691107,4.88792832e+04
-80.453654,25.691303,2.94603456e+04
-80.362847,25.692969,2.75005515e+04
-80.347710,25.694687,2.00985645e+04
-80.433451,25.695179,6.57206332e+04
-80.323478,25.695260,1.71496756e+04
-80.442009,25.695692,3.31595750e+04
-80.405962,25.695874,3.85564033e+04
-80.296055,25.696018,1.67486137e+04
-80.311224,25.696608,1.60593125e+04
-80.159136,25.698278,2.89436734e+03
-80.278259,25.698345,1.57491826e+04
-80.371904,25.699154,2.89269607e+04
-80.376411,25.703817,3.00139333e+04
-80.455297,25.705360,2.36526396e+04
-80.443345,25.706347,4.63849416e+04
-80.490974,25.706808,5.12245721e+03
-80.271666,25.707078,1.68236012e+04
-80.403654,25.707141,4.33170814e+04
-80.419538,25.707207,5.66996348e+04
-80.435372,25.707286,4.63853352e+04
-80.391835,25.707716,3.39605520e+04
-80.424225,25.707719,5.65827053e+04
-80.410906,25.708564,4.41558722e+04
-80.370380,25.709085,2.35056590e+04
-80.342905,25.709553,2.07929858e+04
-80.289789,25.711275,1.97757463e+04
-80.273114,25.714153,2.93133957e+04
-80.254218,25.716997,2.09334086e+04
