longitude,latitude,potential
-118.298537,34.067182,8.26031291e+05
-118.295416,34.067085,5.67874922e+05
-118.293135,34.067375,7.25505785e+05
-118.294770,34.064103,6.79547052e+05
-118.298613,34.059142,7.67100397e+05
-118.293930,34.059077,6.49179564e+05
-118.290395,34.059339,5.36306493e+05
-118.286551,34.059062,5.67998527e+05
-118.280695,34.063329,5.82209192e+05
-118.278813,34.062074,6.79983968e+05
-118.275679,34.061571,7.70564065e+05
-118.272468,34.060522,6.54551590e+05
-118.270185,34.059455,5.74958885e+05
-118.265976,34.061585,6.07708692e+05
-118.266182,34.059023,5.54046106e+05
-118.264244,34.057383,5.37329875e+05
-118.267762,34.055797,3.96319124e+05
-118.272481,34.056728,5.19747633e+05
-118.276872,34.054457,4.93899114e+05
-118.281469,34.056452,5.50017174e+05
-118.287701,34.056247,4.95354359e+05
-118.288019,34.053705,5.57413865e+05
-118.294333,34.056209,5.32046652e+05
-118.298109,34.056191,5.28227654e+05
-118.301993,34.056067,6.42044217e+05
-118.305246,34.056111,5.40586345e+05
-118.301681,34.058937,5.03152653e+05
-118.304503,34.064162,5.45751395e+05
-118.298585,34.063936,5.41134772e+05
-118.302275,34.067031,5.15760451e+05
-118.298616,34.070821,5.32846865e+05
-118.294578,34.070867,5.99730188e+05
-118.294224,34.074336,5.44853040e+05
-118.288731,34.071621,4.94375909e+05
-118.287441,34.065708,5.26121570e+05
-118.282562,34.065770,4.95930458e+05
-118.282004,34.071447,4.32509131e+05
-118.285370,34.072141,4.18778318e+05
-118.287902,34.080400,2.77585933e+05
-118.295953,34.077720,3.77106220e+05
-118.298590,34.074370,4.30037175e+05
-118.302228,34.072238,4.79125988e+05
-118.306089,34.067026,4.47063036e+05
-118.307330,34.072321,3.74683277e+05
-118.311434,34.067215,3.43496392e+05
-118.311753,34.063759,3.04360053e+05
-118.306881,34.057359,4.59290911e+05
-118.304394,34.052776,4.07121089e+05
-118.304325,34.049095,3.46576678e+05
-118.297984,34.050382,3.35757519e+05
-118.293764,34.050760,4.03379007e+05
-118.287934,34.049616,4.35012807e+05
-118.282605,34.049152,4.64215269e+05
-118.282071,34.053388,4.33739456e+05
-118.276955,34.050569,4.25893722e+05
-118.273706,34.053151,4.42844677e+05
-118.268281,34.050923,3.40455399e+05
-118.273030,34.046883,2.88046956e+05
-118.278070,34.047337,3.92623691e+05
-118.282659,34.044044,3.71773447e+05
-118.287488,34.045750,3.52824586e+05
-118.294798,34.044170,2.78084526e+05
-118.288110,34.042049,2.76087165e+05
-118.280464,34.042428,3.27692829e+05
-118.276802,34.041525,2.75129885e+05
-118.276915,34.033200,1.92447366e+05
-118.281165,34.034198,1.85906259e+05
-118.287795,34.034656,2.72610897e+05
-118.292001,34.038595,2.64180240e+05
-118.296047,34.034535,2.54299206e+05
-118.302937,34.043448,2.66369965e+05
-118.308500,34.045437,2.47339768e+05
-118.312305,34.051383,2.52424510e+05
-118.312506,34.056305,3.59104672e+05
-118.312497,34.059708,3.46996782e+05
-118.316657,34.066062,2.02081952e+05
-118.313373,34.072375,2.54256415e+05
-118.311482,34.079854,2.71885532e+05
-118.306472,34.080210,2.94153658e+05
-118.305878,34.086621,3.06105214e+05
-118.304383,34.093061,3.04522794e+05
-118.302370,34.088633,3.01871683e+05
-118.297987,34.087740,2.98146881e+05
-118.296540,34.080832,3.35084604e+05
-118.302495,34.080354,2.69405605e+05
