i,j,k
72216,71370,72529
17,2,0
26,25,24
22,20,19
72216,70998,71370
70998,71270,71370
71270,70998,70808
18,17,19
20,18,19
13,15,12
13,14,15
50,68373,53748
70998,70729,70808
71270,71302,71370
70638,71270,70808
1257,10582,1247
1257,8464,10582
739,10582,13451
10582,739,1247
72522,72504,72525
2,5,0
6,5,2
13,9,14
9,2,17
14,9,17
18,16,17
16,14,17
29,28,68640
68373,29,68640
50,29,68373
24825,53748,53694
71122,68932,68813
68932,71122,71270
70026,71122,68813
71122,71302,71270
70647,70638,70808
10996,13612,13451
1256,1567,1335
4499,930,3925
8461,8521,8464
4580,1257,1335
1257,4580,8464
4580,8461,8464
34857,36592,31969
39741,44330,46761
49819,62154,46761
66038,63645,65393
62154,63645,72384
4,3,6
3,5,6
5,3,0
9,8,2
23981,50,53748
24825,23981,53748
71856,70998,72216
68932,68757,68813
68670,68932,68511
68373,67993,53748
67993,67536,53748
71057,70981,71208
71057,71208,71370
71302,71057,71370
68932,68664,68511
68691,68664,68932
68441,68517,68773
68517,68691,68773
70638,68939,71270
68775,68939,70638
68939,68932,71270
68939,68441,68773
68691,68939,68773
68939,68691,68932
10582,10661,13451
10661,10996,13451
1241,1256,1335
1242,1241,1335
1257,1260,1335
1260,1242,1335
1242,1260,1247
1567,1381,1826
3630,4580,1928
18090,17202,13451
18090,19705,19795
21468,22236,20928
72524,72533,72525
72533,72522,72525
71043,71329,72386
62834,66401,66876
59147,49165,58225
70206,70688,70684
70575,70688,70264
63645,71975,72384
71975,63645,66038
8721,9491,9285
39996,44121,38794
66491,69057,66541
35960,34823,35937
30357,31166,31969
33078,34857,31969
44330,41407,44712
59877,62834,59933
55691,59147,66192
58339,59877,59933
65786,66038,65393
66210,66244,66530
66132,66210,66530
930,745,3925
745,3915,3925
3,1,0
1,3,4
7,9,6
7,8,9
7,6,2
8,7,2
24825,39732,33794
39732,24825,53694
53042,39732,53694
68757,68673,68813
68670,68191,68229
68191,68670,68511
68625,68757,68932
68670,68625,68932
68489,68441,68143
68489,68517,68441
68517,68489,68691
68728,68939,68775
739,1149,1247
1251,1257,1247
1260,1251,1247
1251,1260,1257
1727,1971,1928
1567,1706,1335
1727,1706,1567
1706,4580,1335
4580,1706,1928
1266,1381,1265
1381,1266,1327
7851,6396,4309
15920,14972,13648
11037,13110,12434
8052,8242,8385
4499,3808,930
3808,3493,930
3359,2219,3235
3359,3629,3428
3359,3428,2156
2219,3359,2156
3616,3359,3235
3836,3359,3616
3629,3359,3836
2148,2219,2156
8506,8521,8461
8506,8721,8567
8914,8721,9285
8721,8914,8567
4580,8162,8536
8033,6396,8046
3630,5769,4580
8033,5769,6396
2087,3585,1928
3585,3630,1928
3585,2087,2156
